school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Anderson Community Day,Anderson Union High,2018-19,16,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
Anderson High,Anderson Union High,2002-03,992,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
Anderson High,Anderson Union High,2018-19,538,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
Anderson New Technology High,Anderson Union High,2002-03,73,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
Anderson New Technology High,Anderson Union High,2018-19,161,Natural Disasters & Weather,Inclement Weather,Power outage and road closure - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
North Valley High,Anderson Union High,2002-03,108,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
North Valley High,Anderson Union High,2018-19,54,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
Oakview High (Alternative),Anderson Union High,2002-03,179,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
Oakview High (Alternative),Anderson Union High,2018-19,101,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
West Valley High,Anderson Union High,2002-03,1095,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
West Valley High,Anderson Union High,2004-05,1050,Natural Disasters & Weather,Inclement Weather,"Power failure caused by heavy rain, winds and downed power lines.",7-Dec-04,2004,1,4.56986E+13,Shasta
West Valley High,Anderson Union High,2018-19,867,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13-15, 2019",2019,3,4.56986E+13,Shasta
Anderson Valley Elementary,Anderson Valley Unified,2014-15,269,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,2.36554E+13,Mendocino
Anderson Valley Elementary,Anderson Valley Unified,2014-15,269,Natural Disasters & Weather,Inclement Weather,Power outage due to storm.,"February 9-10, 2015",2015,2,2.36554E+13,Mendocino
Anderson Valley Elementary,Anderson Valley Unified,2016-17,276,Natural Disasters & Weather,Inclement Weather,"Inclement weather resulted in flooding, down trees, and road closures.","January 10-11, 2017",2017,2,2.36554E+13,Mendocino
Anderson Valley Junior-Senior High,Anderson Valley Unified,2014-15,258,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,"December 11, 2014 - Closure
, December 12, 2014 - Material Decrease",2014,1,2.36554E+13,Mendocino
Anderson Valley Junior-Senior High,Anderson Valley Unified,2014-15,258,Natural Disasters & Weather,Inclement Weather,Power outage due to storm.,"February 9-10, 2015",2015,2,2.36554E+13,Mendocino
Anderson Valley Junior-Senior High,Anderson Valley Unified,2016-17,217,Natural Disasters & Weather,Inclement Weather,"Inclement weather resulted in flooding, down trees, and road closures.","January 10-11, 2017",2017,2,2.36554E+13,Mendocino
Rancheria Continuation,Anderson Valley Unified,2014-15,13,Natural Disasters & Weather,Inclement Weather,Power outage due to storm.,"February 9-10, 2015",2015,2,2.36554E+13,Mendocino
Rancheria Continuation,Anderson Valley Unified,2016-17,13,Natural Disasters & Weather,Inclement Weather,"Inclement weather resulted in flooding, down trees, and road closures.","January 10-11, 2017",2017,2,2.36554E+13,Mendocino
Antelope Community Day,Antelope Elementary,2014-15,5,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,5.27147E+13,Tehama
Antelope Elementary,Antelope Elementary,2014-15,405,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,5.27147E+13,Tehama
Antelope Elementary,Antelope Elementary,2018-19,497,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13, 2019 (All schools) February 14-15 (Plum Valley)",2019,1,5.27147E+13,Tehama
Berrendos Middle,Antelope Elementary,2014-15,241,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,5.27147E+13,Tehama
Berrendos Middle,Antelope Elementary,2018-19,252,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13, 2019 (All schools) February 14-15 (Plum Valley)",2019,1,5.27147E+13,Tehama
Lassen-Antelope Volcanic Academy (LAVA),Antelope Elementary,2018-19,87,Natural Disasters & Weather,Inclement Weather,Power outage - weather,13-Feb-19,2019,1,5.27147E+13,Tehama
Manton Elementary,Antelope Elementary,2014-15,39,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,5.27147E+13,Tehama
Plum Valley Elementary,Antelope Elementary,2013-14,17,Natural Disasters & Weather,Inclement Weather,Drought. No water. Due to unusually dry conditions the schools well pump would need to be lowered.,4-Nov-13,2013,1,5.27147E+13,Tehama
Plum Valley Elementary,Antelope Elementary,2014-15,21,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,5.27147E+13,Tehama
Plum Valley Elementary,Antelope Elementary,2016-17,16,Natural Disasters & Weather,Inclement Weather,Power outage due to weather,14-Oct-16,2016,1,5.27147E+13,Tehama
Plum Valley Elementary,Antelope Elementary,2018-19,15,Natural Disasters & Weather,Inclement Weather,Power outage - weather,"February 13, 2019 (All schools) February 14-15 (Plum Valley)",2019,3,5.27147E+13,Tehama
Plum Valley Elementary,Antelope Elementary,2018-19,15,Natural Disasters & Weather,Inclement Weather,Road closure - weather,27-Feb-19,2019,1,5.27147E+13,Tehama
Antelope Valley High,Antelope Valley Union High,2002-03,2573,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Antelope Valley High,Antelope Valley Union High,2004-05,2843,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Antelope Valley High,Antelope Valley Union High,2008-09,1816,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Desert Pathways,Antelope Valley Union High,2004-05,53,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Desert Sands Charter,Antelope Valley Union High,2002-03,755,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Desert Sands Charter,Antelope Valley Union High,2004-05,1163,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Desert Winds Continuation High,Antelope Valley Union High,2002-03,727,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Desert Winds Continuation High,Antelope Valley Union High,2004-05,887,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Desert Winds Continuation High,Antelope Valley Union High,2008-09,1031,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Eastside High,Antelope Valley Union High,2008-09,2332,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Hearns (Henry) Charter,Antelope Valley Union High,2002-03,82,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Hearns (Henry) Charter,Antelope Valley Union High,2004-05,45,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Highland High,Antelope Valley Union High,2002-03,3347,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Highland High,Antelope Valley Union High,2004-05,3597,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Highland High,Antelope Valley Union High,2008-09,2981,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Lancaster High,Antelope Valley Union High,2002-03,3087,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Lancaster High,Antelope Valley Union High,2004-05,3478,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Lancaster High,Antelope Valley Union High,2008-09,2961,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Littlerock High,Antelope Valley Union High,2002-03,3210,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)","February 11 and 13, 2003",2003,2,1.96425E+13,Los Angeles
Littlerock High,Antelope Valley Union High,2004-05,2550,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Littlerock High,Antelope Valley Union High,2008-09,1839,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Palmdale High,Antelope Valley Union High,2002-03,3564,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Palmdale High,Antelope Valley Union High,2004-05,3489,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Palmdale High,Antelope Valley Union High,2008-09,3179,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Phoenix High Community Day,Antelope Valley Union High,2002-03,103,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Phoenix High Community Day,Antelope Valley Union High,2004-05,98,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Phoenix High Community Day,Antelope Valley Union High,2008-09,164,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Quartz Hill High,Antelope Valley Union High,2002-03,3089,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
Quartz Hill High,Antelope Valley Union High,2004-05,3379,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
Quartz Hill High,Antelope Valley Union High,2008-09,3193,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
R. Rex Parris High,Antelope Valley Union High,2002-03,530,Natural Disasters & Weather,Inclement Weather,"Excess rainfall/snow (2/11/03 -Littlerock High), (2/13/03 - All Schools)",13-Feb-03,2003,1,1.96425E+13,Los Angeles
R. Rex Parris High,Antelope Valley Union High,2004-05,624,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
R. Rex Parris High,Antelope Valley Union High,2008-09,574,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
William J. (Pete) Knight High,Antelope Valley Union High,2004-05,1694,Natural Disasters & Weather,Inclement Weather,Loss of instructional days due to excessive rainfall and impassable roads.,"January 3 through 14, 2005",2005,2,1.96425E+13,Los Angeles
William J. (Pete) Knight High,Antelope Valley Union High,2008-09,3368,Natural Disasters & Weather,Inclement Weather,Excessive snowfall and impassable roads.,"December 18, 19, 2008",2008,2,1.96425E+13,Los Angeles
Academy for Academic Excellence,Apple Valley Unified,2008-09,988,Natural Disasters & Weather,Inclement Weather,Inclement weather caused unsafe driving conditions.,18-Dec-08,2008,1,3.67508E+13,San Bernardino
Academy for Academic Excellence,Apple Valley Unified,2009-10,1335,Natural Disasters & Weather,Inclement Weather,Power outage due to storm,22-Jan-10,2010,1,3.67508E+13,San Bernardino
Apple Valley Alternative Educational Center,Apple Valley Unified,2008-09,477,Natural Disasters & Weather,Inclement Weather,Inclement weather caused unsafe driving conditions.,18-Dec-08,2008,1,,San Bernardino
Apple Valley High,Apple Valley Unified,2008-09,2097,Natural Disasters & Weather,Inclement Weather,Inclement weather caused unsafe driving conditions.,18-Dec-08,2008,1,3.67508E+13,San Bernardino
Apple Valley High,Apple Valley Unified,2009-10,2145,Natural Disasters & Weather,Inclement Weather,Excessive rainfall and flooding. State of emergency.,22-Jan-10,2010,1,3.67508E+13,San Bernardino
Apple Valley Middle,Apple Valley Unified,2008-09,804,Natural Disasters & Weather,Inclement Weather,Inclement weather caused unsafe driving conditions.,18-Dec-08,2008,1,3.67508E+13,San Bernardino
Apple Valley Middle,Apple Valley Unified,2009-10,753,Natural Disasters & Weather,Inclement Weather,Excessive rainfall and flooding. State of emergency.,22-Jan-10,2010,1,3.67508E+13,San Bernardino
